"","Country.Name","Year","Value"
"90","India",1987,340.416834519514
"91","India",1988,354.149248234391
"92","India",1989,346.11288848412
"93","India",1990,367.55660889077
"94","India",1991,303.055607722879
"95","India",1992,316.953927198178
"96","India",1993,301.159002272177
"97","India",1994,346.102951420647
"98","India",1995,373.76648078334
"99","India",1996,399.950074728286
"100","India",1997,415.493797812017
"101","India",1998,413.29893221522
"102","India",1999,441.998760444983
"103","India",2000,443.314193811316
"104","India",2001,451.572997293746
"105","India",2002,470.986786810734
"106","India",2003,546.726613494985
"107","India",2004,627.774241726543
"108","India",2005,714.8610153644
"109","India",2006,806.753280628799
"110","India",2007,1028.33477194577
"111","India",2008,998.522341514181
"112","India",2009,1101.96083821252
"113","India",2010,1357.5637268318
"114","India",2011,1458.10406619579
"115","India",2012,1443.88243476138
"116","India",2013,1449.61045069641
"117","India",2014,1573.88564182956
"118","India",2015,1605.60544457087
"119","India",2016,1732.55424231659
"120","India",2017,1980.66701982802
"121","India",2018,1998.25907627675
"122","India",2019,2072.24489735041
"123","India",2020,1933.1010689481
"124","India",2021,2277.43434674354
"125","Monaco",1960,NA
"126","Monaco",1961,NA
"127","Monaco",1962,NA
"128","Monaco",1963,NA
"129","Monaco",1964,NA
"130","Monaco",1965,NA
"131","Monaco",1966,NA
"132","Monaco",1967,NA
"133","Monaco",1968,NA
"134","Monaco",1969,NA
"135","Monaco",1970,12478.1312231659
"136","Monaco",1971,13812.718181146
"137","Monaco",1972,16735.0132333149
"138","Monaco",1973,21417.5829453693
"139","Monaco",1974,22712.9433599518
"140","Monaco",1975,28247.5496670412
"141","Monaco",1976,28810.8730132684
"142","Monaco",1977,31430.4338223286
"143","Monaco",1978,38349.3957599325
"144","Monaco",1979,45845.1098251087
"145","Monaco",1980,51515.0641298537
"146","Monaco",1981,44369.5613532147
"147","Monaco",1982,41371.8768078816
"148","Monaco",1983,38893.3032300995
"149","Monaco",1984,36382.9734569848
"150","Monaco",1985,37552.0556421484
"151","Monaco",1986,52158.6777352307
"152","Monaco",1987,63077.7745675481
"153","Monaco",1988,68441.2516124554
"154","Monaco",1989,68583.6040547841
"155","Monaco",1990,84303.8784345827
"156","Monaco",1991,83721.9914222793
"157","Monaco",1992,91670.60400736
"158","Monaco",1993,85397.3265576507
"159","Monaco",1994,89378.0397852409
"160","Monaco",1995,101866.604082751
"161","Monaco",1996,101212.002562744
"162","Monaco",1997,90833.2974627833
"163","Monaco",1998,92999.2534514393
"164","Monaco",1999,91283.2565855903
"165","Monaco",2000,82365.492364536
"166","Monaco",2001,83724.465911527
"167","Monaco",2002,90506.8595058764
"168","Monaco",2003,108656.802575207
"169","Monaco",2004,123523.493238604
"170","Monaco",2005,124197.275382905
"171","Monaco",2006,134048.621858085
"172","Monaco",2007,169966.306938019
"173","Monaco",2008,185785.725924897
"174","Monaco",2009,154775.380774218
"175","Monaco",2010,150737.892475253
"176","Monaco",2011,169016.196065279
"177","Monaco",2012,157520.219426533
"178","Monaco",2013,177673.74536842
"179","Monaco",2014,189432.370013147
"180","Monaco",2015,165989.505113832
"181","Monaco",2016,170028.655717864
"182","Monaco",2017,167517.059727856
"183","Monaco",2018,185978.609251356
"184","Monaco",2019,189487.14712838
"185","Monaco",2020,173688.189360292
"186","Monaco",2021,NA
"187","Switzerland",1960,1787.36034770201
"188","Switzerland",1961,1971.31632279228
"189","Switzerland",1962,2131.39165159983
"190","Switzerland",1963,2294.18284731738
"191","Switzerland",1964,2501.29318996377
"192","Switzerland",1965,2620.475547353
"193","Switzerland",1966,2784.73354771646
"194","Switzerland",1967,2960.72258588384
"195","Switzerland",1968,3121.8890308772
"196","Switzerland",1969,3344.78360254639
"197","Switzerland",1970,NA
"198","Switzerland",1971,NA
"199","Switzerland",1972,NA
"200","Switzerland",1973,NA
"201","Switzerland",1974,NA
"202","Switzerland",1975,NA
"203","Switzerland",1976,NA
"204","Switzerland",1977,NA
"205","Switzerland",1978,NA
"206","Switzerland",1979,NA
"207","Switzerland",1980,19410.1893547743
"208","Switzerland",1981,17679.8688671472
"209","Switzerland",1982,18015.1059588746
"210","Switzerland",1983,17874.2506500052
"211","Switzerland",1984,17005.5342408851
"212","Switzerland",1985,17166.5184994159
"213","Switzerland",1986,24480.4225642346
"214","Switzerland",1987,30466.1090219178
"215","Switzerland",1988,32717.9204479296
"216","Switzerland",1989,31334.9790794011
"217","Switzerland",1990,39607.8190856429
"218","Switzerland",1991,39577.7487487507
"219","Switzerland",1992,40747.9254622791
"220","Switzerland",1993,39270.1141346041
"221","Switzerland",1994,43128.014108909
"222","Switzerland",1995,50155.9741273218
"223","Switzerland",1996,48144.5791284296
"224","Switzerland",1997,41631.4388587844
"225","Switzerland",1998,42740.1281825149
"226","Switzerland",1999,41786.2341411701
"227","Switzerland",2000,38952.0342005572
"228","Switzerland",2001,39727.8466713883
"229","Switzerland",2002,42578.7631355696
"230","Switzerland",2003,49470.3971259674
"231","Switzerland",2004,54878.4710009787
"232","Switzerland",2005,56546.7856553987
"233","Switzerland",2006,59300.6172165015
"234","Switzerland",2007,65359.5192218269
"235","Switzerland",2008,74572.232372807
"236","Switzerland",2009,72083.167695454
"237","Switzerland",2010,77117.126014204
"238","Switzerland",2011,91254.0347609687
"239","Switzerland",2012,86547.6708907265
"240","Switzerland",2013,88109.4867524037
"241","Switzerland",2014,89684.7075795936
"242","Switzerland",2015,84776.1421659748
"243","Switzerland",2016,83073.2800824812
"244","Switzerland",2017,83352.0886533412
"245","Switzerland",2018,86388.4049527184
"246","Switzerland",2019,85334.5194620909
"247","Switzerland",2020,87100.4148213751
"248","Switzerland",2021,93457.4403976155
"249","United States",1960,3007.12344537862
"250","United States",1961,3066.56286916615
"251","United States",1962,3243.84307754988
"252","United States",1963,3374.51517105082
"253","United States",1964,3573.94118474743
"254","United States",1965,3827.52710972039
"255","United States",1966,4146.31664631665
